"Day","Hr","Temp","KWH"
2014-12-12,19,35.33,"Above_Normal"
2014-12-12,20,33.98,"Above_Normal"
2014-12-12,21,33.98,"Above_Normal"
2014-12-12,22,33.98,"Above_Normal"
2014-12-12,23,33.08,"Above_Normal"
2014-12-13,0,33.08,"Above_Normal"
2014-12-13,1,33.08,"Above_Normal"
2014-12-13,2,33.08,"Above_Normal"
2014-12-13,3,32,"Above_Normal"
2014-12-13,4,32,"Above_Normal"
2014-12-13,5,32,"Above_Normal"
2014-12-13,6,32,"Above_Normal"
2014-12-13,7,33.08,"Above_Normal"
2014-12-13,8,33.8,"Above_Normal"
2014-12-13,9,35.06,"Above_Normal"
2014-12-13,10,35.96,"Above_Normal"
2014-12-13,11,37.94,"Above_Normal"
2014-12-13,12,39.92,"Above_Normal"
2014-12-13,13,41,"Above_Normal"
2014-12-13,14,41,"Above_Normal"
2014-12-13,15,39.92,"Above_Normal"
2014-12-13,16,39.02,"Above_Normal"
2014-12-13,17,39.02,"Above_Normal"
2014-12-13,18,37.94,"Above_Normal"
2014-12-13,19,37.04,"Above_Normal"
2014-12-13,20,35.96,"Above_Normal"
2014-12-13,21,33.98,"Above_Normal"
2014-12-13,22,33.98,"Above_Normal"
2014-12-13,23,33.08,"Above_Normal"
2014-12-14,0,33.98,"Above_Normal"
2014-12-14,1,33.98,"Above_Normal"
2014-12-14,2,33.98,"Above_Normal"
2014-12-14,3,33.98,"Above_Normal"
2014-12-14,4,33.08,"Above_Normal"
2014-12-14,5,33.98,"Above_Normal"
2014-12-14,6,33.98,"Above_Normal"
2014-12-14,7,33.98,"Above_Normal"
2014-12-14,8,35.42,"Above_Normal"
2014-12-14,9,37.04,"Above_Normal"
2014-12-14,10,39.02,"Above_Normal"
2014-12-14,11,41,"Above_Normal"
2014-12-14,12,42.98,"Above_Normal"
2014-12-14,13,44.06,"Above_Normal"
2014-12-14,14,44.06,"Above_Normal"
2014-12-14,15,42.98,"Above_Normal"
2014-12-14,16,41,"Above_Normal"
2014-12-14,17,39.92,"Above_Normal"
2014-12-14,18,37.94,"Above_Normal"
2014-12-14,19,37.04,"Above_Normal"
2014-12-14,20,35.06,"Above_Normal"
2014-12-14,21,35.06,"Above_Normal"
2014-12-14,22,33.98,"Above_Normal"
2014-12-14,23,33.98,"Above_Normal"
2014-12-15,0,33.98,"Above_Normal"
2014-12-15,1,33.08,"Above_Normal"
2014-12-15,2,33.08,"Above_Normal"
2014-12-15,3,33.08,"Above_Normal"
2014-12-15,4,33.08,"Above_Normal"
2014-12-15,5,33.08,"Above_Normal"
2014-12-15,6,32,"Above_Normal"
2014-12-15,7,33.98,"Above_Normal"
2014-12-15,8,35.06,"Above_Normal"
2014-12-15,9,37.04,"Above_Normal"
2014-12-15,10,39.02,"Above_Normal"
2014-12-15,11,41,"Above_Normal"
2014-12-15,12,39.92,"Above_Normal"
2014-12-15,13,39.92,"Above_Normal"
2014-12-15,14,39.02,"Above_Normal"
2014-12-15,15,37.94,"Above_Normal"
2014-12-15,16,37.04,"Above_Normal"
2014-12-15,17,39.02,"Above_Normal"
2014-12-15,18,37.04,"Above_Normal"
2014-12-15,19,37.94,"Above_Normal"
2014-12-15,20,35.96,"Above_Normal"
2014-12-15,21,35.96,"Above_Normal"
2014-12-15,22,36.32,"Above_Normal"
2014-12-15,23,37.94,"Above_Normal"
2014-12-16,0,35.96,"Above_Normal"
2014-12-16,1,35.06,"Above_Normal"
2014-12-16,2,35.06,"Above_Normal"
2014-12-16,3,35.06,"Above_Normal"
2014-12-16,4,35.96,"Above_Normal"
